"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","hgnc_symbol","Expresión"
507.425984275358,5.78272214224152,0.558080760474057,10.3618016455709,3.69927493901501e-25,1.64760311007776e-22,"ENSG00000007968","E2F2","UP"
167.940903325042,6.32349710230606,0.634085510400649,9.97262514059112,2.00848740760595e-23,7.04475191338184e-21,"ENSG00000129173","E2F8","UP"
2219.72691493179,2.58384267939284,0.261132017182025,9.89477547516413,4.38593474072942e-23,1.44410995192017e-20,"ENSG00000177426","TGIF1","UP"
2316.32544743813,-2.52977256379718,0.256294750280575,-9.87055942826664,5.58522366582827e-23,1.79554442315654e-20,"ENSG00000116604","MEF2D","DOWN"
551.86331887665,5.02762582887893,0.515039194078171,9.76163734078043,1.64477974523389e-22,4.98764876361458e-20,"ENSG00000165891","E2F7","UP"
159.837464624484,4.70917968266333,0.495978547270828,9.49472453713184,2.2079436300593e-21,5.21574838621245e-19,"ENSG00000116833","NR5A2","UP"
3453.57226792203,-2.63052892995716,0.2942340650886,-8.94025961665946,3.88257142437206e-19,6.33614909892658e-17,"ENSG00000081189","MEF2C","DOWN"
34.3845868168422,-3.87263646367112,0.438288180121901,-8.83582227244647,9.93646444851606e-19,1.53376682463971e-16,"ENSG00000268041","ERFL","DOWN"
1506.66761716513,4.18035957070094,0.478944623979436,8.72827329382536,2.58590174387901e-18,3.74797969027237e-16,"ENSG00000111206","FOXM1","UP"
314.02908083651,10.5355334067466,1.23223364451212,8.54994785580451,1.23144132544622e-17,1.53427967200711e-15,"ENSG00000128710","HOXD10","UP"
1403.30715661435,-3.0560137619674,0.363174727312189,-8.4147203319586,3.9383337003446e-17,4.47849292621367e-15,"ENSG00000167074","TEF","DOWN"
311.076487106427,8.79109614685173,1.09593221101225,8.02156927090583,1.04402677596277e-15,8.71864313668754e-14,"ENSG00000106004","HOXA5","UP"
1233.87178155324,-2.53623286640592,0.32418067083746,-7.82351662069807,5.13677709410326e-15,3.72259624089107e-13,"ENSG00000178951","ZBTB7A","DOWN"
2012.58665535107,-1.81520379764533,0.232488730859659,-7.80770659693208,5.82379644931092e-15,4.16401446125731e-13,"ENSG00000116731","PRDM2","No significativo"
228.477535652424,4.41976152118332,0.573099786564967,7.71202786110668,1.23834088271062e-14,8.17094770402131e-13,"ENSG00000198353","HOXC4","UP"
188.665901501271,9.22309063666753,1.20670810775455,7.64318278579393,2.11916811365879e-14,1.3246969449665e-12,"ENSG00000128709","HOXD9","UP"
941.706281408382,-2.99722995993883,0.393434167987821,-7.61812319267503,2.57390593769361e-14,1.58805910790715e-12,"ENSG00000151090","THRB","DOWN"
187.0646091492,9.2107503339785,1.23370719412527,7.46591280154539,8.27241175401668e-14,4.61151902694252e-12,"ENSG00000175879","HOXD8","UP"
816.492369341869,-1.79646825336849,0.241067216806512,-7.45214665505677,9.18335583233043e-14,5.09938630289548e-12,"ENSG00000070444","MNT","No significativo"
205.690772623525,9.34763252705118,1.25867932521057,7.42654013601704,1.11475081780217e-13,6.13428580653376e-12,"ENSG00000183072","NKX2-5","UP"
227.788098600038,7.35897801881222,0.992844414235916,7.41201533019211,1.24394373688165e-13,6.7496576596255e-12,"ENSG00000260027","HOXB7","UP"
606.768430158407,3.55185664611748,0.479892545559281,7.40135823943262,1.34798531622847e-13,7.25891790503533e-12,"ENSG00000092607","TBX15","UP"
242.031738714882,7.4228280387986,1.00723599190616,7.36950237923007,1.71266109523996e-13,9.08539087458747e-12,"ENSG00000069011","PITX1","UP"
435.488469791628,6.8816579553759,0.933953372002587,7.36830998384878,1.72804609613746e-13,9.13301198177372e-12,"ENSG00000120093","HOXB3","UP"
174.752783575912,3.16597648924783,0.434774990639219,7.28187351483377,3.29215678620701e-13,1.66189784779047e-11,"ENSG00000213988","ZNF90","UP"
1988.15316535946,-1.68046296713475,0.230860115202606,-7.27913942891325,3.35956325404642e-13,1.69067154579545e-11,"ENSG00000126767","ELK1","No significativo"
136.731214349965,-4.08591800085914,0.562126696677024,-7.26867808451863,3.63022347275399e-13,1.8090613639224e-11,"ENSG00000106852","LHX6","DOWN"
304.167310134466,3.37504107009169,0.467122092841717,7.22517971599197,5.00439586257917e-13,2.43151083973065e-11,"ENSG00000164749","HNF4G","UP"
256.782199899751,9.66798104094081,1.36551962103526,7.08007478765565,1.44076685739275e-12,6.38371694523748e-11,"ENSG00000128714","HOXD13","UP"
799.628423918705,-3.67871448583885,0.529151518401189,-6.95210040586095,3.59887100374379e-12,1.47391693014438e-10,"ENSG00000108924","HLF","DOWN"
1515.41102232974,5.75071769451118,0.829198975045046,6.93526869615194,4.05449780440076e-12,1.64164926726102e-10,"ENSG00000106511","MEOX2","UP"
3387.37708179141,2.14421205588899,0.309559588176931,6.92665366470073,4.30911782033882e-12,1.72837664769444e-10,"ENSG00000141510","TP53","UP"
129.866593368819,8.6842604474493,1.25539125330058,6.91757284800042,4.5944714225818e-12,1.82400942075515e-10,"ENSG00000105996","HOXA2","UP"
141.69477871708,8.23285059129335,1.19934284112885,6.86446803112977,6.67394838326035e-12,2.56616916387647e-10,"ENSG00000105997","HOXA3","UP"
10167.4915958378,-1.93606375716009,0.283846583259301,-6.82081050590432,9.05282899383921e-12,3.38942039658129e-10,"ENSG00000172379","ARNT2","No significativo"
5733.47336802715,-2.08700554742207,0.308638271205627,-6.76197912614545,1.36119319125909e-11,4.90316236551514e-10,"ENSG00000198911","SREBF2","DOWN"
45.6297405809788,7.75454459165001,1.15274946237935,6.7269990962686,1.7319781609991e-11,6.11008170213191e-10,"ENSG00000106006","HOXA6","UP"
126.962632331107,-5.11352225772306,0.762204667115876,-6.70885718539647,1.96154524852547e-11,6.85770974580567e-10,"ENSG00000136535","TBR1","DOWN"
725.559626752122,-2.07665356065629,0.311161594227756,-6.67387492280385,2.49135972718014e-11,8.51503340168195e-10,"ENSG00000184481","FOXO4","DOWN"
1764.88724143555,-1.48153361022131,0.223145426305466,-6.63931873823496,3.15136273269965e-11,1.04939888132429e-09,"ENSG00000197063","MAFG","No significativo"
549.044343025386,2.32179993275167,0.352725956475879,6.58244705308623,4.62767627476693e-11,1.48547713573731e-09,"ENSG00000184635","ZNF93","UP"
85.1317083553268,8.07486630768958,1.22908298965184,6.5698300079614,5.03727360867402e-11,1.60490840302589e-09,"ENSG00000122592","HOXA7","UP"
4104.27461367367,1.33126143641184,0.203441150456325,6.54371759806597,6.00080654632749e-11,1.87830516472419e-09,"ENSG00000113658","SMAD5","No significativo"
88.3218519259945,7.55123392773941,1.16030693026412,6.50796244578193,7.6176954657662e-11,2.33483731204133e-09,"ENSG00000170166","HOXD4","UP"
1565.15176118466,3.19152966620904,0.492772005971515,6.47668623122543,9.37588779866608e-11,2.81145640603558e-09,"ENSG00000169083","AR","UP"
1050.70163445057,2.16787752161455,0.336340132404063,6.44549166975462,1.15226255985792e-10,3.37678480273098e-09,"ENSG00000118707","TGIF2","UP"
1328.8226119911,-1.49529698580293,0.232937902424413,-6.41929445676254,1.36907369019541e-10,3.96326904344516e-09,"ENSG00000184271","POU6F1","No significativo"
1153.00937352372,3.09368894145814,0.485440016898981,6.37295821061642,1.85416421116413e-10,5.20883700241424e-09,"ENSG00000074219","TEAD2","UP"
181.242612543387,8.05847389784677,1.28130308372169,6.28928003079491,3.18941686299747e-10,8.45967101806346e-09,"ENSG00000182742","HOXB4","UP"
