"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000139515",7.09797241556276,3.54835542307586,0.380570919681458,9.32376920981214,1.12279114354076e-20,3.35346912340715e-20,"PDX1"
"ENSG00000138083",17.642433473716,2.99436700766934,0.237812308797762,12.5913037168139,2.35747218225205e-36,1.08992720754804e-35,"SIX3"
"ENSG00000215397",82.2667649094025,2.98799240338758,0.203301337333822,14.6973573443901,6.70247641093827e-49,3.9340622412029e-48,"SCRT2"
"ENSG00000163497",26.1388968390351,2.92948464302321,0.286394705382481,10.2288365949744,1.47277988656066e-24,5.04632702247943e-24,"FEV"
"ENSG00000169840",162.364310548228,2.90396729272976,0.213325759474886,13.6128299736424,3.35977640881349e-42,1.78570793381819e-41,"GSX1"
"ENSG00000152284",842.381125661045,2.8686933700819,0.0790873424481623,36.2724714382985,4.39648606467255e-288,3.70953511706747e-286,"TCF7L1"
"ENSG00000120738",9102.78897009147,2.62628887764804,0.111809686484247,23.4889208639188,5.29389948512688e-122,8.21467161485205e-121,"EGR1"
"ENSG00000176692",36.3291824935675,2.59499253127694,0.154005548258908,16.8499937866806,1.04925701499943e-63,7.91339089524713e-63,"FOXC2"
"ENSG00000180818",253.134791860426,2.54711398693564,0.220897576237089,11.5307466488533,9.23393765413714e-31,3.69905514334871e-30,"HOXC10"
"ENSG00000120075",29.3495180329167,2.43189925349765,0.255503820809874,9.51805435155226,1.76451648400699e-21,5.41385739411237e-21,"HOXB5"
"ENSG00000167182",921.227652570848,2.42955455679147,0.0400731901752285,60.6279296998251,0,0,"SP2"
"ENSG00000120068",60.0395076552161,2.41107420650513,0.302991939916128,7.95755229387469,1.75475966776683e-15,4.44451322980341e-15,"HOXB8"
"ENSG00000213015",855.182857148604,2.38982430530789,0.0476621092514681,50.1409682206683,0,0,"ZNF580"
"ENSG00000176083",10.0593273783401,2.32398102437212,0.173564973106182,13.3896890759772,6.94709589406208e-41,3.60714594499378e-40,"ZNF683"
"ENSG00000169136",1097.41378548276,2.29380778835075,0.0807619483136015,28.4020858368078,1.90566636717589e-177,5.71699910152768e-176,"ATF5"
"ENSG00000261221",760.59479319625,2.25665453570325,0.0531530653193357,42.4557741335445,0,0,"ZNF865"
"ENSG00000176165",1704.06990021416,2.25270270494239,0.130272441638711,17.2922429072903,5.38169161577679e-67,4.37667691644498e-66,"FOXG1"
"ENSG00000164778",162.009966075945,2.22222043335458,0.148870932896631,14.9271613344264,2.19409449770924e-50,1.3525240054372e-49,"EN2"
"ENSG00000203883",247.754211784056,2.21863983174885,0.0959923980874318,23.1126617935732,3.45367243022426e-118,5.18050864533639e-117,"SOX18"
"ENSG00000184221",6877.49082918135,2.21134458766324,0.140447137524522,15.7450313807723,7.42942540649862e-56,5.06551732261269e-55,"OLIG1"
"ENSG00000197576",24.0244432228198,2.19407986552255,0.204678674380451,10.7196310126782,8.2331126013747e-27,2.99587655306088e-26,"HOXA4"
"ENSG00000261678",164.174563293316,2.159343275508,0.182618630102058,11.8243318017512,2.9221866669348e-32,1.22514037278323e-31,"SCRT1"
